scopus_id,title,publication_name,issn,isbn,eissn,volume,page_range,cover_date,doi,citation_count,affiliation,aggregation_type,subtype_description,authors,full_text,abstract
85146329001,Understanding association between methylene blue dye and biosorbent: Palmyrah sprout casing in adsorption process in aqueous phase,Water Science and Engineering,16742370,,24058106,16,154-164,2023-06-01,10.1016/j.wse.2022.12.006,9,"[{'name': 'University of Jaffna', 'city': 'Jaffna', 'country': 'Sri Lanka'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S1674237022000977,"Water pollution caused by industrial dyes has become a severe problem in the modern world. Biosorbents can be used in an eco-friendly manner to remove industrial dyes. In this study, five biosorbents were selected: palmyrah sprout casing (PSC), manioc peel, lime peel, king coconut husk, and coconut kernel. Batch adsorption experiments were conducted to identify the best biosorbent with the highest ability to adsorb methylene blue (MB) from wastewater. The detailed mechanisms of PSC used in the adsorptive removal of MB in aqueous phase were investigated. Of the five biosorbents, PSC exhibited the best removal performance with an adsorption capacity at equilibrium (qe) of 27.67 mg/g. The qe values of lime peel, king coconut husk, manioc peel, and coconut kernel were 24.25 mg/g, 15.29 mg/g, 10.84 mg/g, and 7.06 mg/g, respectively. To explain the mechanisms of MB adsorption with the selected biosorbents, the Fourier transform infrared (FTIR) spectrometry and X-ray diffraction (XRD) analyses were performed to characterize functional properties, and isotherm, kinetic, rate-limiting, and thermodynamic analyses were conducted. The FTIR analysis revealed that different biosorbents had different functional properties on their adsorptive surfaces. The FTIR and XRD results obtained before and after MB adsorption with PSC indicated that the surface functional groups of carbonyl and hydroxyl actively participated in the removal process. According to the isotherm analysis, monolayer adsorption was observed with the Langmuir model with a determination coefficient of 0.998. The duration to reach the maximum adsorption capacity for MB adsorption with PSC was 120 min, and the adsorption process was exothermic due to the negative enthalpy change (−9.950 kJ/mol). Moreover, the boundary layer thickness and intraparticle diffusion were the rate-limiting factors in the adsorption process. As a new biosorbent for MB adsorption, PSC could be used in activated carbon production to enhance the performance of dye removal."
85180538610,A comprehensive review on the sequestration of dyes from aqueous media using maize-/corn-based adsorbents,Water Practice and Technology,1751231X,,,18,3065-3108,2023-01-01,10.2166/wpt.2023.214,13,"[{'name': 'Nnamdi Azikiwe University', 'city': 'Awka', 'country': 'Nigeria'}]",Journal,Article,[],,"Corn or maize (Zea mays L.) is the most significant grain crop worldwide after wheat and rice. It is widely cultivated and consumed as food, feed, and industrial raw material, along with the emission of a large quantity of corn waste. Such abundant, renewable, and cheap wastes with unique chemical compositions can be efficiently converted into adsorbents for the elimination of dye-contaminated water. This article represents an extensive review of the use of corn/maize waste-derived adsorbents for the sequestration of dyes from aqueous media. This study addressed the utilization of corn residues, including cob, stalk, straw, husk, and silk, as precursors for adsorbents. The adsorption behaviour, mechanism, and regeneration of the studied corn adsorbent/dye systems were identified. It was observed that the most common forms of corn/maize-derived adsorbents that have been utilized for the sequestration of dyes include biosorbents, biochars, activated carbons, and composites. The highest adsorption capacity (1,682.7 mg/g) for dye (methylene blue) sequestration was obtained using a corn husk composite-based adsorbent. Important findings and future ideas are finally mentioned for the corn/maize-based materials and their application as adsorbents for dye removal."
85096348692,Adsorption of methylene blue onto betel nut husk-based activated carbon prepared by sodium hydroxide activation process,Water Science and Technology,02731223,,19969732,82,1932-1949,2020-11-01,10.2166/wst.2020.451,33,"[{'name': 'Khulna University Environmental Science Discipline', 'city': 'Khulna', 'country': 'Bangladesh'}]",Journal,Article,[],,"In this study, activated carbon (AC) was prepared from agro-waste betel nut husks (BNH) through the chemical activation method Therefore, the BNH-AC is a very promising and cost-effective adsorbent for MB dye treatment and has high adsorption capacity."
85083336784,Adsorption isotherms and kinetic modeling of methylene blue dye onto a carbonaceous hydrochar adsorbent derived from coffee husk waste,Science of the Total Environment,00489697,,18791026,725,,2020-07-10,10.1016/j.scitotenv.2020.138325,221,"[{'name': 'Trường Đại học Công nghiệp thành phố Hồ Chí Minh', 'city': 'Ho Chi Minh City', 'country': 'Viet Nam'}, {'name': 'Vietnam Academy of Science and Technology', 'city': 'Hanoi', 'country': 'Viet Nam'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0048969720318386,"In this study, activated carbon in the form of carbonaceous hydrochar adsorbents with highly functionalized surface-active sites were produced from coffee husk waste via hydrothermal carbonization under low-temperature conditions (180 °C) and subsequent chemical activation. Thereafter, the hydrochars were characterized using diverse analytical techniques, and batch experiments of methylene blue (MB) adsorption were performed under various operating conditions. The results indicated that the activated hydrochar (AH) had a larger specific surface area (862.2 m2 g-1) compared to that of its carbonaceous precursor (33.7 m2 g-1). The maximum MB sorption capacity of the hydrochar activated with potassium hydroxide was extremely high (415.8 mg g-1 at 30 °C). In addition, adsorption isotherms and kinetics were studied using experimental data fitting to further understand and describe the dynamic equilibrium, dynamic kinetics, and mechanism of MB adsorption onto the prepared hydrochars. As compared to the Freundlich isotherm model, the Langmuir isotherm model provided a better fit with the experimental data exhibiting a maximum monolayer adsorption capacity of 418.78 mg g-1. The linear pseudo-second-order kinetic model was found to be suitable for describing the adsorptive kinetics of the hydrochar. The results demonstrated the immense potential of coffee husk waste to produce activated carbon as an alternative green hydrochar that can be applied to dye removal from wastewater as well as improvement of waste management."
85081674516,Methylene blue adsorption on magnetic alginate/rice husk bio-composite,International Journal of Biological Macromolecules,01418130,,18790003,154,104-113,2020-07-01,10.1016/j.ijbiomac.2020.02.330,235,"[{'name': 'Hitit University', 'city': 'Corum', 'country': 'Turkey'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0141813019384259,"Magnetic alginate/rice husk (m-ALG/RH) bio-composite beads prepared with ionotropic gelation method and used for methylene blue (MB) removal. Structural analysis of magnetic alginate/rice husk composite beads was performed using FTIR, SEM-EDS and TGA techniques. The accomplishment of magnetic alginate/rice husk composite beads as an adsorbent for the removal methylene blue was investigated from aqueous solution. Maximum experimental adsorption capacity of the bio-composite beads was calculated as 274.9 mg/g. The various process parameters such as pH, temperature and initial MB concentration optimized. It was determined that pH no significant effect on dye removal efficiency of beads while temperature and ionic strength caused a decrease on removal efficiency. The various isotherm models were applied for determine the adsorption mechanism and Freundlich isotherm model is more compatible with the experimental data. The kinetic studies showed that the adsorption of methylene blue can be well described by the fractal Brouers-Sotolongo kinetic model. The thermodynamic calculations indicated that methylene blue adsorption was a spontaneous and exothermic nature. The results showed that the magnetic alginate/rice husk bio-composite as low-cost and eco-friendly adsorbent can be effectively used for cationic dye removal steps in the environmental engineering applications."
84959934844,Removal of dyes from aqueous solutions using activated carbon prepared from rice husk residue,Water Science and Technology,02731223,,,73,1122-1128,2016-03-01,10.2166/wst.2015.450,30,"[{'name': 'Key Laboratory of Green Chemistry and Technology, Ministry of Education', 'city': 'Chengdu', 'country': 'China'}]",Journal,Article,[],,"The treatment of dye wastewater by activated carbon (AC) prepared from rice husk residue wastes was studied. Batch adsorption studies were conducted to investigate the effects of contact time, initial concentration (50-450 mg/L), pH (3-11) and temperature (30-70 °C) on the removal of methylene blue (MB), neutral red, and methyl orange. Kinetic investigation revealed that the adsorption of dyes followed pseudo-second-order kinetics. The results suggested that AC was effective to remove dyes, especially MB, from aqueous solutions. Desorption studies found that chemisorption by the adsorbent might be the major mode of dye removal. Fourier transform infrared results suggested that dye molecules were likely to combine with the O-H and P=OOH groups of AC."
84880933946,Dye removal of activated carbons prepared from NaOH-pretreated rice husks by low-temperature solution-processed carbonization and H<inf>3</inf>PO<inf>4</inf> activation,Bioresource Technology,09608524,,18732976,144,401-409,2013-01-01,10.1016/j.biortech.2013.07.002,166,"[{'name': 'Dalian Polytechnic University', 'city': 'Dalian', 'country': 'China'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0960852413010596,"A coupling of low-temperature sulfuric acid-assisted carbonization and H3PO4 activation was employed to convert NaOH-pretreated rice husks into activated carbons with extremely high surface area (2028 m(2) g(-1)) and integrated characteristics. The influences of the activation temperature and impregnation ratio on the surface area, pore volume of activated carbons were thoroughly investigated. The morphology and surface chemistry of activated carbons were characterized using N2 sorption, FTIR, XPS, SEM, TEM, etc. The adsorption capacity of resulting carbons obtained under optimum preparation conditions was systematically evaluated using methylene blue under various simulated conditions. The adsorption process can be well described by both Langmuir isotherm model and the pseudo-second order kinetics models; and the maximum monolayer capacity of methylene blue was ca. 578 mg g(-1)."
84879343472,A friendly environmental material: Iron oxide dispersed over activated carbon from coffee husk for organic pollutants removal,Journal of Environmental Management,03014797,,10958630,127,206-211,2013-01-01,10.1016/j.jenvman.2013.05.017,55,"[{'name': 'Universidade Federal de Lavras', 'city': 'Lavras', 'country': 'Brazil'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0301479713003459,"A friendly environmental material for organic contaminants removal was prepared in this work: small particles of iron oxide dispersed over activated carbon from coffee waste for Fenton-like application. The materials were characterized by means of XRD, N2 physisorption, Mössbauer spectroscopy and H2 pulse titration. The composites showed very good catalytic performances for methylene blue organic dye oxidation. The small goethite particles are the predominant iron oxide phase in the composites. The apparent surface area is quite high and is not very affected after iron impregnation. ESI-MS studies revealed that the dye removal occurs through a Fenton-type system by the composite whereas for the activated carbon the dye removal occurs mainly via adsorption. The iron leaching from the catalysts was negligible, less than 0.5 ppm, which evidences the occurrence of a heterogenous oxidation process. The catalyst was very active for methylene blue oxidation and could be repeatedly used for at least 5 cycles. The catalyst was also active in the oxidation of other organic compounds, such as caffeine and atrazine."
37549010986,Production of low-cost carbon adsorbents from agricultural wastes and their impact on dye adsorption,Chemical Engineering Communications,00986445,,15635201,195,386-403,2008-04-01,10.1080/00986440701707917,45,"[{'name': 'Jadavpur University', 'city': 'Kolkata', 'country': 'India'}]",Journal,Article,[],,"This study concerns utilizing commonly available agricultural wastes like mustard stalk, jute stalk, sesame stalk, wheat straw, bagasse, and rice husk in a proper and efficient way. As a part of this research, activated carbon has been prepared from these wastes by a two-stage activation process with a carbonization stage up to 325°C as a first stage followed by chemical activation using zinc chloride as an activation agent. The effects of temperature, time, and impregnation ratio on activation have been studied. The batch adsorption technique has been utilized to obtain information for treating effluents from the dye industry. Methylene blue dye has been chosen as the standard. Adsorption data have been modeled using the Freundlich and Langmuir adsorption isotherms and first- and second-order kinetic equations and intraparticle diffusion model. Specific surface area was determined by the methylene blue spot test. The results indicate that such carbons can be employed as low-cost alternatives to expensive commercial activated carbon in wastewater treatment to remove water-soluble dyes."
37249027160,Synthesis and properties of magnetic Fe<inf>3</inf>O<inf>4</inf>-activated carbon nanocomposite particles for dye removal,Materials Letters,0167577X,,,62,645-647,2008-02-29,10.1016/j.matlet.2007.06.049,310,"[{'name': 'Shanghai Jiao Tong University', 'city': 'Shanghai', 'country': 'China'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0167577X07006295,"Magnetic Fe3O4-activated carbon nanocomposite was synthesized for the first time from rice husk based activated carbon. It was interesting to find the obtained composite still held a relatively large pore diameter of 3.1 nm, high surface area of 770 m2/g with 23 wt.% Fe3O4 coated, and a saturation magnetization (Ms) of 2.78 emu/g. The system demonstrated perfect magnetic separation performance and a high adsorption capacity of 321 mg/g for Methylene Blue (MB) from aqueous solution, both of which are significant for activated carbon’ s use as adsorbent."
